WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,2982.5,,Draupne Fm,17.3237,0.0,2.4905,0.1379,0.620043,0.114735,2.5503,1.0,0.027022
15/9-F-14,2985.0,,Draupne Fm,16.7673,0.0,2.4785,0.1323,0.527703,0.110925,2.5562,1.0,0.0224984
15/9-F-14,2987.5,,Draupne Fm,16.1453,0.0,2.4743,0.1305,0.479657,0.108846,2.5639,1.0,0.0174415
15/9-F-14,2990.0,,Heather Fm,14.6408,0.0,2.5248,0.133,0.642869,0.116806,2.5449,1.0,0.00520976
15/9-F-14,2992.5,,Heather Fm,14.7081,0.0,2.4504,0.1337,0.762754,0.1213,2.5279,1.0,0.00575691
15/9-F-14,2995.0,,Heather Fm,13.9843,0.0,2.3609,0.1305,0.845338,0.124422,2.5116,1.0,0.0
15/9-F-14,2997.5,,Heather Fm,14.6794,0.0,2.31,0.1361,1.0335,0.129784,2.4992,1.0,0.00552358
15/9-F-14,3000.0,F-TIDAL BAR,Hugin Fm,14.1989,0.0,2.2242,0.1394,1.08301,0.131369,2.5028,1.0,0.00161707
15/9-F-14,3002.5,F-TIDAL BAR,Hugin Fm,14.1318,0.0,2.1179,0.141,1.17789,0.133877,2.4967,1.0,0.00107154
15/9-F-14,3005.0,F-TIDAL BAR,Hugin Fm,13.4749,0.0,2.0625,0.1443,1.22294,0.135062,2.5,1.0,0.0
15/9-F-14,3007.5,F-TIDAL BAR,Hugin Fm,13.1826,0.0,1.9884,0.1455,1.19394,0.134344,2.5055,1.0,0.0
15/9-F-14,3010.0,F-TIDAL BAR,Hugin Fm,13.5213,0.0,1.9926,0.1422,0.988767,0.128831,2.5202,1.0,0.0
15/9-F-14,3012.5,F-LOWER SHOREFACE,Hugin Fm,15.7746,0.0,2.0891,0.1451,0.95807,0.127108,2.5244,1.0,0.0144276
15/9-F-14,3015.0,F-LOWER SHOREFACE,Hugin Fm,17.2668,0.0,2.1416,0.1424,0.827075,0.122347,2.5299,1.0,0.0265593
15/9-F-14,3017.5,F-LOWER SHOREFACE,Hugin Fm,18.4219,0.0,2.0859,0.1443,0.948775,0.125594,2.5152,1.0,0.0359504
15/9-F-14,3020.0,F-LOWER SHOREFACE,Hugin Fm,17.4428,0.0,2.1121,0.1439,1.00406,0.127651,2.5111,1.0,0.0279902
15/9-F-14,3022.5,F-LOWER SHOREFACE,Hugin Fm,15.6185,0.0,2.0273,0.144,1.19779,0.133651,2.4967,1.0,0.0131585
15/9-F-14,3025.0,F-LOWER SHOREFACE,Hugin Fm,13.9118,0.0,1.9714,0.1501,1.42777,0.139791,2.494,1.0,0.0
15/9-F-14,3027.5,F-LOWER SHOREFACE,Hugin Fm,12.3333,0.0,1.8974,0.152,1.49947,0.141321,2.4921,1.0,0.0
15/9-F-14,3030.0,F-TIDAL BAR,Hugin Fm,13.2168,0.0,1.862,0.1462,1.32014,0.137377,2.495,1.0,0.0
15/9-F-14,3032.5,F-TIDAL BAR,Hugin Fm,14.5934,0.0,2.0297,0.1427,1.17623,0.133611,2.4992,1.0,0.00482439
15/9-F-14,3035.0,F-TIDAL BAR,Hugin Fm,15.8827,0.0,2.0928,0.1434,1.10109,0.131047,2.5044,1.0,0.0153065
15/9-F-14,3037.5,F-TIDAL FLAT MUDDY,Hugin Fm,16.5354,0.0,2.0576,0.1502,1.13055,0.131502,2.5142,1.0,0.020613
15/9-F-14,3040.0,F-OFFSHORE,Hugin Fm,16.0028,0.0,1.9936,0.1488,1.08285,0.130504,2.5178,1.0,0.0162829
15/9-F-14,3042.5,F-TIDAL BAR,Hugin Fm,15.6004,0.0,1.986,0.1502,1.12967,0.131932,2.5172,1.0,0.0130114
15/9-F-14,3045.0,F-TIDAL BAR,Hugin Fm,15.9177,0.0,1.9493,0.1507,1.1443,0.132156,2.5158,1.0,0.0155911
15/9-F-14,3047.5,F-TIDAL CHANNEL,Hugin Fm,17.5664,0.0,1.9271,0.145,0.885959,0.124093,2.5271,1.0,0.0289951
15/9-F-14,3050.0,F-TIDAL CHANNEL,Hugin Fm,21.384,0.0,1.9728,0.1408,0.632115,0.113473,2.5409,1.0,0.0600325
15/9-F-14,3052.5,F-TIDAL CHANNEL,Hugin Fm,23.6373,0.0,1.9946,0.1428,0.63599,0.112638,2.5371,1.0,0.078352
15/9-F-14,3055.0,F-MOUTHBAR,Hugin Fm,24.324,0.0,2.0493,0.1431,0.710833,0.115146,2.5241,1.0,0.083935
15/9-F-14,3057.5,F-MOUTHBAR,Hugin Fm,22.1458,0.0,2.0309,0.1467,0.916003,0.122862,2.5124,1.0,0.066226
