WELL,DEPTH,PHIE,prediction,error,abs_error_decile,relative_error
15/9-F-1,3329.9,0.15220699999999998,0.15649289,0.004285888927459736,0,0.02815829053499337
15/9-F-1,3330.0,0.148425,0.15380245,0.005377454471588133,0,0.03623011266018618
15/9-F-1,3330.1,0.150584,0.15905467,0.008470666757583623,0,0.05625210352749046
15/9-F-1,3330.2,0.155678,0.16445342,0.008775417062759389,0,0.056369024928116934
15/9-F-1,3330.3,0.159661,0.16432557,0.004664565099716189,0,0.029215432069924333
15/9-F-1,3330.4,0.163129,0.16911307,0.005984069772720341,0,0.03668305312188722
15/9-F-1,3330.5,0.16783199999999998,0.16864213,8.101334743499944E-4,0,0.004827050111718829
15/9-F-1,3330.6,0.17465999999999998,0.17509893,4.389258289337339E-4,0,0.0025130300522943658
15/9-F-1,3330.7,0.180198,0.17953017,-6.678264598846406E-4,0,-0.0037060703220049094
15/9-F-1,3330.8,0.184393,0.18036726,-0.004025738828659059,0,-0.021832384248095422
15/9-F-1,3330.9,0.18319100000000002,0.17964166,-0.003549335971832296,0,-0.01937505648111695
15/9-F-1,3331.0,0.181056,0.17434439,-0.006711609369277949,0,-0.037069245809461984
15/9-F-1,3331.1,0.178197,0.15489197,-0.023305032226562494,1,-0.13078240501558666
15/9-F-1,3331.2,0.17563900000000002,0.16994914,-0.005689855875015276,0,-0.03239517348091982
15/9-F-1,3331.3,0.172808,0.16297805,-0.009829946907043446,0,-0.05688363332162543
15/9-F-1,3331.4,0.166712,0.16312456,-0.003587438690185546,0,-0.02151877903321624
15/9-F-1,3331.5,0.161063,0.16882664,0.0077636396522521856,0,0.048202502450917874
15/9-F-1,3331.6,0.157408,0.15484998,-0.002558023698806755,0,-0.01625091290662962
15/9-F-1,3331.7,0.155331,0.15176073,-0.0035702728328704803,0,-0.022984934320067985
15/9-F-1,3331.8,0.15579300000000001,0.1534279,-0.0023651011161804347,0,-0.015181048674718598
15/9-F-1,3331.9,0.153515,0.15180051,-0.0017144867324829227,0,-0.011168203318782677
