WELL,DEPTH,PERM,prediction,error,abs_error_decile,relative_error
15/9-F-1,3342.1,12.9099,47.29488466991028,34.38498466991028,0,2.6634586379375733
15/9-F-1,3342.5,7.249389999999999,44.65524290995127,37.40585290995127,0,5.1598621277033345
15/9-F-1,3343.2,0.8940440000000001,39.87452622362228,38.98048222362228,0,43.60018323888117
15/9-F-1,3343.7,0.783845,49.27083648359785,48.48699148359785,0,61.85788195829258
15/9-F-1,3344.0,1.55948,51.58038660687891,50.02090660687891,0,32.07537551419634
15/9-F-1,3344.9,14.9707,110.54884672115386,95.57814672115387,0,6.384347206286537
15/9-F-1,3346.4,0.00260118,51.02920058946479,51.026599409464794,0,19616.71218810878
15/9-F-1,3347.5,0.45702299999999996,46.64370403994024,46.18668103994024,0,101.059861407282
15/9-F-1,3347.6,0.509182,38.262287077578996,37.753105077578994,0,74.14461838316946
15/9-F-1,3347.9,0.401462,34.61311038353846,34.21164838353846,0,85.21765044646432
15/9-F-1,3348.1,0.5375840000000001,44.77702146867682,44.23943746867682,0,82.29306948993425
15/9-F-1,3348.3,0.494332,42.58195495997804,42.08762295997804,0,85.14039746562642
15/9-F-1,3348.6,0.22265500000000002,17.144638318455947,16.921983318455947,0,76.000913154683
15/9-F-1,3348.7,0.299032,18.54532940708568,18.24629740708568,0,61.0178757025525
15/9-F-1,3349.5,0.275319,17.307953549323305,17.032634549323305,0,61.86508940292281
15/9-F-1,3349.6,0.180858,5.555772962570522,5.374914962570522,0,29.7189782181077
15/9-F-1,3350.8,0.557362,34.66416661032032,34.106804610320324,0,61.19327225451381
15/9-F-1,3351.0,0.20876599999999998,30.835350450299543,30.626584450299543,0,146.70293271078407
15/9-F-1,3351.6,0.18765199999999999,17.049137682726606,16.861485682726606,0,89.85508112211225
15/9-F-1,3351.7,0.198769,17.147886083378225,16.949117083378226,0,85.27042488204009
15/9-F-1,3351.8,0.18787,15.611422098030062,15.423552098030061,0,82.09693989476798
15/9-F-1,3352.1,0.177456,16.88291543203421,16.70545943203421,0,94.13860017150286
15/9-F-1,3353.0,0.0570505,5.034340096482502,4.977289596482502,0,87.24357536713092
15/9-F-1,3353.6,0.0503401,15.404709830719092,15.354369730719093,0,305.0126982409469
15/9-F-1,3353.8,0.03752369999999999,4.8720920894387385,4.834568389438738,0,128.84039658772292
15/9-F-1,3354.1,0.025444,4.978945582191357,4.953501582191357,0,194.6825020512245
15/9-F-1,3354.2,0.05924,15.32751753017047,15.268277530170469,0,257.7359475045656
15/9-F-1,3354.5,0.175483,16.954439885064488,16.77895688506449,0,95.61585387225252
15/9-F-1,3356.8,0.145849,19.002156140417775,18.856307140417776,0,129.28650275571155
15/9-F-1,3357.3,1.6221299999999998,58.68316699994668,57.06103699994668,0,35.176611615558976
15/9-F-1,3357.5,3.6566300000000003,84.98305951665452,81.32642951665451,0,22.24081449768079
15/9-F-1,3358.0,29.6919,79.93933035466918,50.24743035466918,0,1.692294206658017
15/9-F-1,3358.1,28.7476,62.53125763595953,33.78365763595953,0,1.1751818459961711
15/9-F-1,3358.5,38.2584,88.0850832040625,49.8266832040625,0,1.3023723732320875
15/9-F-1,3359.0,14.1173,100.99907504634804,86.88177504634804,0,6.154277025093187
15/9-F-1,3359.7,40.5131,81.55454747582229,41.04144747582229,0,1.0130413983581184
15/9-F-1,3360.0,43.3647,81.49581090346506,38.13111090346506,0,0.8793122263837881
15/9-F-1,3360.9,37.3035,85.04127247390481,47.73777247390481,0,1.2797129618911043
15/9-F-1,3361.1,29.9436,83.74259766964464,53.798997669644635,0,1.7966776763530314
15/9-F-1,3361.2,29.8224,87.00279563406484,57.18039563406484,0,1.9173639825790292
15/9-F-1,3361.6,25.5074,83.75512345617369,58.24772345617369,0,2.2835617685916123
15/9-F-1,3361.8,26.8124,75.92456871614681,49.11216871614681,0,1.8316961076273222
15/9-F-1,3361.9,31.9897,92.45023247882119,60.46053247882119,0,1.8899999837079182
15/9-F-1,3362.4,33.5361,55.569482176634104,22.033382176634106,0,0.6570049044651617
15/9-F-1,3362.6,33.5173,64.88604577375798,31.368745773757986,0,0.9358971568043365
15/9-F-1,3363.1,27.7763,183.52198758228718,155.7456875822872,0,5.6071430529727575
15/9-F-1,3363.8,5.89387,36.33760906356507,30.44373906356507,0,5.165322455969519
15/9-F-1,3364.3,10.1972,34.37171834666535,24.174518346665344,0,2.370701599131658
15/9-F-1,3365.5,0.0217452,7.549441404818241,7.527696204818241,0,346.1773726991815
15/9-F-1,3365.9,0.0566219,5.4642993354255225,5.407677435425523,0,95.50505079175235
15/9-F-1,3367.0,0.121476,5.021448989009968,4.899972989009967,0,40.33696358959767
15/9-F-1,3367.2,0.029395299999999996,5.0668885493321625,5.0374932493321625,0,171.37070379727928
15/9-F-1,3367.4,0.026133999999999998,5.4067222680875,5.3805882680875,0,205.88460503893398
15/9-F-1,3367.6,0.0544709,5.690757366135955,5.636286466135955,0,103.47334936885483
15/9-F-1,3367.7,0.08824989999999999,5.864003567210753,5.775753667210753,0,65.44770778449329
15/9-F-1,3369.5,0.494993,5.351051525237366,4.856058525237366,0,9.810357975238771
15/9-F-1,3370.1,0.21198000000000003,5.787181190081625,5.575201190081625,0,26.30060000981991
15/9-F-1,3370.3,0.272948,5.667668949525949,5.394720949525949,0,19.76464729371876
15/9-F-1,3370.4,0.373673,5.667668949525949,5.293995949525949,0,14.16745643791751
15/9-F-1,3370.5,0.7147,5.470939657476986,4.7562396574769865,0,6.654875692566093
15/9-F-1,3370.7,0.9758,5.503046856357915,4.527246856357914,0,4.639523320719322
15/9-F-1,3370.8,0.878805,5.7085852476740255,4.829780247674026,0,5.495849759245823
15/9-F-1,3371.5,0.45685600000000004,6.881365799991823,6.424509799991823,0,14.062439368185647
15/9-F-1,3371.7,0.615834,6.802423415898796,6.186589415898796,0,10.045871802951439
15/9-F-1,3371.9,1.15846,6.787258021963561,5.628798021963561,0,4.858862646930892
15/9-F-1,3373.5,0.835832,5.723105289996059,4.887273289996059,0,5.847195716359338
15/9-F-1,3373.6,0.830751,5.680504487979286,4.849753487979286,0,5.837794342684253
15/9-F-1,3373.8,0.9562799999999999,5.763764945958111,4.8074849459581115,0,5.027277519092851
15/9-F-1,3374.8,0.716327,8.02955935350872,7.31323235350872,0,10.209349017290595
15/9-F-1,3375.8,2.69575,8.129112006305991,5.433362006305991,0,2.0155288904037807
15/9-F-1,3376.2,2.12521,6.961536702252646,4.836326702252646,0,2.2756935560498235
15/9-F-1,3376.3,1.7597099999999999,6.707381688003953,4.947671688003953,0,2.811640377109838
15/9-F-1,3376.5,1.45554,5.926293871208056,4.470753871208056,0,3.071543118848026
15/9-F-1,3376.7,2.96998,5.905800059815683,2.935820059815683,0,0.9884982591854771
15/9-F-1,3377.0,2.39868,5.2741447605405325,2.8754647605405323,0,1.1987696401939951
15/9-F-1,3377.5,0.773701,5.282885389599817,4.509184389599817,0,5.828071037260927
15/9-F-1,3377.6,0.712282,5.487451780387309,4.7751697803873085,0,6.704043876424378
15/9-F-1,3377.9,0.320493,6.117763238860805,5.797270238860805,0,18.088601744377584
15/9-F-1,3378.3,0.171521,6.341915908790728,6.170394908790728,0,35.97457401012545
15/9-F-1,3378.7,0.7464069999999999,6.112318877632097,5.365911877632097,0,7.188989221205184
15/9-F-1,3379.1,1.1598700000000002,5.776837551118994,4.616967551118995,0,3.9805905412839317
15/9-F-1,3380.0,0.7330399999999999,5.558493372264551,4.825453372264551,0,6.5827968081749315
15/9-F-1,3380.3,0.5038560000000001,5.946215339827417,5.4423593398274175,0,10.801418142936507
15/9-F-1,3380.6,0.40949,6.152101109281834,5.742611109281834,0,14.023812814187975
15/9-F-1,3380.8,0.45751000000000003,5.702874831771667,5.245364831771667,0,11.465027719113607
15/9-F-1,3381.4,1.14331,4.954582335031795,3.8112723350317945,0,3.3335423769859394
15/9-F-1,3381.5,1.11122,5.014451316509878,3.9032313165098778,0,3.512563953591438
15/9-F-1,3381.6,0.9800629999999999,5.328885338354002,4.348822338354003,0,4.437288560382346
15/9-F-1,3381.8,0.45470600000000005,6.254088969396598,5.799382969396598,0,12.754137771211722
15/9-F-1,3382.0,0.199992,6.904770202166476,6.704778202166476,0,33.52523202011318
15/9-F-1,3382.1,0.14494100000000001,6.661574714352996,6.516633714352996,0,44.960595789686806
15/9-F-1,3382.3,0.10109800000000001,5.603641911776239,5.502543911776239,0,54.42782163619694
15/9-F-1,3384.0,0.0157158,4.97033538993259,4.95461958993259,0,315.2635939584743
15/9-F-1,3384.2,0.00922054,4.90555099787048,4.89633045787048,0,531.0242629900722
15/9-F-1,3384.4,0.014062799999999999,4.933024422994319,4.91896162299432,0,349.7853644362659
15/9-F-1,3384.9,0.132702,4.873997994816594,4.741295994816594,0,35.72889628503409
15/9-F-1,3385.9,0.07238610000000001,9.661277962871795,9.588891862871796,0,132.46869029926734
15/9-F-1,3386.6,1.69943,7.458924007883207,5.759494007883207,0,3.3890739882685414
15/9-F-1,3387.9,3.6642,12.521023109988697,8.856823109988696,0,2.4171232765647876
15/9-F-1,3388.3,3.3456,4.9171601856459155,1.5715601856459154,0,0.46973941464787045
15/9-F-1,3388.4,4.48449,4.893948692364723,0.40945869236472276,0,0.09130552021851375
15/9-F-1,3388.5,6.2920300000000005,4.917150010209388,-1.374879989790612,0,-0.218511353218375
15/9-F-1,3388.9,4.145569999999999,5.025299754006559,0.8797297540065596,0,0.21220960061138994
15/9-F-1,3389.3,0.0156716,4.905393349486983,4.8897217494869825,0,312.0116484268985
15/9-F-1,3389.6,0.00997381,5.341616677546096,5.331642867546096,0,534.5643106842917
15/9-F-1,3390.2,0.0359628,5.239337024079374,5.203374224079374,0,144.68768349737434
15/9-F-1,3391.4,0.48049,5.000055593658526,4.519565593658526,0,9.406159532266075
15/9-F-1,3391.6,0.33768200000000004,4.863807177074508,4.526125177074508,0,13.40351329675407
15/9-F-1,3392.2,0.173868,5.029787098466287,4.855919098466288,0,27.92876836718826
15/9-F-1,3393.0,0.149554,5.086741170524075,4.937187170524075,0,33.01273901416261
15/9-F-1,3393.3,0.032676,5.329790168456559,5.297114168456559,0,162.11023896610843
15/9-F-1,3393.6,0.0358314,5.553413648843058,5.517582248843058,0,153.98734765716824
15/9-F-1,3395.1,0.014385399999999998,4.916233663701843,4.901848263701843,0,340.7516136987392
15/9-F-1,3395.5,0.00779383,4.839657929919362,4.831864099919362,0,619.9601607835124
15/9-F-1,3396.2,0.090351,5.004941832511453,4.914590832511453,0,54.394426542168354
15/9-F-1,3396.5,0.0874329,4.862470769360578,4.775037869360578,0,54.61374230250373
15/9-F-1,3396.6,0.11236099999999999,4.723696336757233,4.611335336757233,0,41.04035507655889
15/9-F-1,3397.4,0.0866074,5.036656225516901,4.950048825516901,0,57.15503323638512
15/9-F-1,3397.7,0.126133,5.259811626334243,5.133678626334243,0,40.700519501908644
15/9-F-1,3397.9,0.507232,5.265102184202114,4.757870184202114,0,9.380067078185354
15/9-F-1,3398.1,0.491252,5.292066807791899,4.800814807791899,0,9.772611221515431
15/9-F-1,3399.1,0.289033,4.842481291709008,4.5534482917090084,0,15.754077533392412
15/9-F-1,3399.2,0.36782600000000004,4.916005194735497,4.548179194735497,0,12.365029102715678
