WELL,DEPTH,SW,prediction,error,abs_error_decile,relative_error
15/9-F-1,3334.5,0.580592,0.6904456,0.10985360194015503,2,0.18920963764598037
15/9-F-1,3335.1,0.9238940000000001,0.947793,0.023899006896972552,0,0.025867693584948653
15/9-F-1,3336.0,0.637933,0.6826324,0.04469938668441775,0,0.07006909296809814
15/9-F-1,3336.3,0.58311,0.80183244,0.21872243751525877,4,0.3750963583462104
15/9-F-1,3336.4,0.592912,0.7909599,0.19804789465713502,3,0.33402578233723557
15/9-F-1,3337.4,0.603422,0.79386055,0.19043855469512938,3,0.3155976326602765
15/9-F-1,3338.9,0.758084,0.8159423,0.05785828744506838,1,0.07632173670077246
15/9-F-1,3339.5,0.769303,0.9167729,0.14746990201187138,2,0.19169287265469054
15/9-F-1,3342.1,0.711756,0.68397534,-0.027780661064148005,0,-0.03903115823982938
15/9-F-1,3342.5,0.738284,0.79177856,0.05349456445312495,1,0.07245797613536924
15/9-F-1,3343.2,0.838601,0.8727552,0.03415422947311397,0,0.04072762788634162
15/9-F-1,3343.7,0.800696,0.8111938,0.010497823814392127,0,0.013110873308212014
15/9-F-1,3344.0,0.753383,0.8611583,0.10777531136703489,2,0.14305514109959327
15/9-F-1,3344.9,0.5256310000000001,0.8136561,0.2880250916900634,5,0.5479606257813244
15/9-F-1,3346.4,0.650809,0.6591948,0.008385827079772978,0,0.012885235268370564
15/9-F-1,3347.5,0.657499,0.8448341,0.18733508927917486,3,0.284920721216572
15/9-F-1,3347.6,0.676509,0.93089867,0.2543896663818359,4,0.37603293730288273
15/9-F-1,3347.9,0.782478,0.77173364,-0.010744358375549323,0,-0.013731195478402361
15/9-F-1,3348.1,0.734727,0.92262363,0.1878966343383789,3,0.2557366672769326
15/9-F-1,3348.3,0.783328,0.95478654,0.17145853907775876,3,0.21888473165488628
15/9-F-1,3348.6,0.899459,0.999394,0.0999349995765686,1,0.11110567527432445
15/9-F-1,3348.7,0.888201,0.9571066,0.06890559027099608,1,0.07757882536835252
15/9-F-1,3349.5,0.906401,0.8480667,-0.05833431241607667,1,-0.06435817305593956
15/9-F-1,3349.6,0.9663940000000001,0.9138696,-0.05252438063049325,1,-0.05435089687073103
15/9-F-1,3350.8,0.7733399999999999,0.75922436,-0.014115644779205239,0,-0.01825283158663103
15/9-F-1,3351.0,0.8366040000000001,0.9447832,0.1081792107543944,2,0.1293075466461963
15/9-F-1,3351.6,0.912092,0.9501697,0.03807768250274657,0,0.04174763346542516
15/9-F-1,3351.7,0.90905,0.9480698,0.039019810867309546,0,0.04292372352159897
15/9-F-1,3351.8,0.9190709999999999,0.9506246,0.0315535851516725,0,0.03433204306486932
15/9-F-1,3352.1,0.893344,0.99414325,0.10079924760437009,1,0.11283363139436778
15/9-F-1,3353.0,0.975241,0.97936094,0.004119938072204565,0,0.004224533291980716
15/9-F-1,3353.6,0.9431219999999999,0.9658666,0.022744625308990574,0,0.02411631295738046
15/9-F-1,3353.8,0.9997870000000001,0.9896984,-0.010088589965820405,0,-0.010090739293289875
15/9-F-1,3354.1,1.0,0.9955373,-0.004462718963623047,0,-0.004462718963623047
15/9-F-1,3354.2,0.947401,1.0019224,0.05452136900329585,1,0.05754835492394018
15/9-F-1,3354.5,0.8991809999999999,0.9805939,0.08141291975402842,1,0.09054119221161082
15/9-F-1,3356.8,0.918955,0.90577304,-0.013181956367492642,0,-0.014344506931778642
15/9-F-1,3357.3,0.797779,0.9233159,0.12553688268280028,2,0.1573579684133078
15/9-F-1,3357.5,0.6615479999999999,0.8062428,0.14469482360076913,2,0.21872157969001366
15/9-F-1,3358.0,0.645717,0.96423113,0.31851413346099855,6,0.4932720270040878
15/9-F-1,3358.1,0.680143,0.8652657,0.1851227270431518,3,0.2721820661877749
15/9-F-1,3358.5,0.628083,0.92265177,0.29456876773071294,5,0.4689965621274783
15/9-F-1,3359.0,0.641993,0.9767871,0.33479409030151364,6,0.5214918080127254
15/9-F-1,3359.7,0.689342,0.7341399,0.04479791928100585,0,0.06498649332407694
15/9-F-1,3360.0,0.6882050000000001,0.6741862,-0.01401877029418952,0,-0.020370050049316
15/9-F-1,3360.9,0.672063,0.9674812,0.2954181959266663,5,0.43956920099256513
15/9-F-1,3361.1,0.6804319999999999,0.70964396,0.029211959999084547,0,0.0429314905811081
15/9-F-1,3361.2,0.674241,0.7767551,0.10251409452819826,1,0.15204369732513784
15/9-F-1,3361.6,0.677918,0.6385801,-0.03933791615295412,0,-0.05802754337981013
15/9-F-1,3361.8,0.670642,0.76267815,0.09203614636230473,1,0.13723588197921505
15/9-F-1,3361.9,0.644083,0.8563112,0.2122282020492554,4,0.32950443040610516
15/9-F-1,3362.4,0.697652,0.705997,0.008344990203857372,0,0.011961536989584165
15/9-F-1,3362.6,0.641325,0.6893544,0.04802941970825192,0,0.07489092068491314
15/9-F-1,3363.1,0.497413,0.53923327,0.0418202673072815,0,0.08407554146610864
15/9-F-1,3363.8,0.710604,0.7754478,0.06484378585433959,1,0.0912516476889232
15/9-F-1,3364.3,0.7026979999999999,0.7647346,0.06203662581634528,1,0.08828348140502078
15/9-F-1,3365.5,1.0,0.9616819,-0.038318097591400146,0,-0.038318097591400146
15/9-F-1,3365.9,1.0,0.9900638,-0.009936213493347168,0,-0.009936213493347168
15/9-F-1,3367.0,1.0,0.9403126,-0.05968737602233887,1,-0.05968737602233887
