WELL,DEPTH,HC,prediction,prediction_correct
15/9-F-1,3497.2,,,
15/9-F-1,3499.9,,,
15/9-F-1,3500.2,,,
15/9-F-1,3501.1,,,
15/9-F-1,3502.1,,,
15/9-F-1,3503.3,,,
15/9-F-1,3503.4,,,
15/9-F-1,3503.5,,,
15/9-F-1,3503.6,,,
15/9-F-1,3504.5,,,
15/9-F-1,3504.7,,,
15/9-F-1,3506.1,,,
15/9-F-1,3506.6,,,
15/9-F-1,3507.8,,,
15/9-F-1,3508.4,,,
15/9-F-1,3508.7,,,
15/9-F-1,3508.9,,,
15/9-F-1,3509.2,,,
15/9-F-1,3509.6,,,
15/9-F-1,3509.8,,,
15/9-F-1,3509.9,,,
15/9-F-1,3511.3,,,
15/9-F-1,3512.3,,,
15/9-F-1,3512.7,,,
15/9-F-1,3512.9,,,
15/9-F-1,3513.1,,,
15/9-F-1,3513.5,,,
15/9-F-1,3513.7,,,
15/9-F-1,3514.0,,,
15/9-F-1,3515.2,,,
15/9-F-1,3515.4,,,
15/9-F-1,3516.5,,,
15/9-F-1,3516.6,,,
15/9-F-1,3516.7,,,
15/9-F-1,3517.1,,,
15/9-F-1,3518.9,,,
15/9-F-1,3519.2,,,
15/9-F-1,3519.5,,,
15/9-F-1,3519.7,,,
15/9-F-1,3519.8,,,
15/9-F-1,3520.0,,,
15/9-F-1,3520.4,,,
15/9-F-1,3521.3,,,
15/9-F-1,3521.4,,,
15/9-F-1,3522.1,,,
15/9-F-1,3522.8,,,
15/9-F-1,3523.0,,,
15/9-F-1,3523.3,,,
15/9-F-1,3523.9,,,
15/9-F-1,3524.4,,,
15/9-F-1,3525.5,,,
15/9-F-1,3525.9,,,
15/9-F-1,3527.8,,,
15/9-F-1,3528.0,,,
15/9-F-1,3528.3,,,
15/9-F-1,3528.5,,,
15/9-F-1,3528.7,,,
15/9-F-1,3530.2,,,
15/9-F-1,3530.7,,,
15/9-F-1,3530.8,,,
15/9-F-1,3531.1,,,
15/9-F-1,3532.1,,,
15/9-F-1,3532.5,,,
15/9-F-1,3532.7,,,
15/9-F-1,3532.9,,,
15/9-F-1,3535.5,,,
15/9-F-1,3535.7,,,
15/9-F-1,3535.9,,,
15/9-F-1,3536.0,,,
15/9-F-1,3536.3,,,
15/9-F-1,3536.6,,,
15/9-F-1,3537.0,,,
15/9-F-1,3537.1,,,
15/9-F-1,3537.4,,,
15/9-F-1,3538.2,,,
15/9-F-1,3538.4,,,
15/9-F-1,3538.5,,,
15/9-F-1,3539.5,,,
15/9-F-1,3539.6,,,
15/9-F-1,3539.9,,,
