WELL,DEPTH,VSH,prediction,error,abs_error_decile
15/9-F-1,3474.4,0.325366,0.29626232,-0.02910367614364623,0
15/9-F-1,3474.5,0.305465,0.29038316,-0.015081839885711656,0
15/9-F-1,3475.8,0.21775300000000003,0.26732844,0.04957544114303586,0
15/9-F-1,3476.3,0.42377299999999996,0.29727173,-0.12650127148437496,1
15/9-F-1,3476.4,0.536273,0.29154205,-0.24473094677734375,3
15/9-F-1,3476.6,0.37973,0.29736963,-0.08236037085533143,1
15/9-F-1,3477.6,0.228528,0.2745753,0.04604729306411742,0
15/9-F-1,3478.5,0.298165,0.30337223,0.005207234106063829,0
15/9-F-1,3478.8,0.544774,0.2729197,-0.2718542855491638,3
15/9-F-1,3479.2,0.290458,0.3158967,0.02543868989181519,0
15/9-F-1,3480.5,0.342149,0.2464354,-0.09571359617614744,1
15/9-F-1,3480.9,0.202731,0.29859328,0.09586228269958497,1
15/9-F-1,3482.3,0.20389200000000002,0.2942958,0.09040378781127928,1
15/9-F-1,3482.6,0.37953600000000004,0.3133074,-0.0662285954818726,0
15/9-F-1,3482.9,0.46983500000000006,0.3425816,-0.12725340004920965,1
15/9-F-1,3483.9,0.24468299999999998,0.31680152,0.07211851820182802,1
15/9-F-1,3484.4,0.458481,0.2938102,-0.16467081122970584,2
15/9-F-1,3485.2,0.31742,0.3117714,-0.005648607177734355,0
15/9-F-1,3485.4,0.32436,0.46851492,0.14415491928100588,2
15/9-F-1,3487.3,0.18917799999999999,0.25757265,0.06839465090942384,0
15/9-F-1,3489.0,0.456967,0.30947864,-0.14748835944366456,2
15/9-F-1,3489.4,0.143649,0.3086763,0.16502730243301392,2
15/9-F-1,3489.6,0.15019000000000002,0.35684758,0.2066575842475891,2
15/9-F-1,3489.9,0.298235,0.4393212,0.1410861901187897,2
15/9-F-1,3490.3,0.407891,0.29159355,-0.11629744836425782,1
15/9-F-1,3490.6,0.244711,0.29312438,0.04841337772750853,0
15/9-F-1,3490.9,0.15198,0.35645062,0.204470617313385,2
15/9-F-1,3491.7,0.357887,0.35288483,-0.00500217095565797,0
15/9-F-1,3491.8,0.36892199999999997,0.23802686,-0.13089514262390134,1
15/9-F-1,3492.0,0.265783,0.27762458,0.011841577283859261,0
15/9-F-1,3492.1,0.229419,0.32629007,0.09687107101058959,1
15/9-F-1,3492.8,0.162546,0.28375727,0.12121126938247681,1
15/9-F-1,3494.1,0.286543,0.2508453,-0.0356976869277954,0
15/9-F-1,3494.5,0.606105,0.29167044,-0.31443455837249756,4
15/9-F-1,3494.7,0.505522,0.29300076,-0.21252124230575564,3
15/9-F-1,3495.2,0.316393,0.30470163,-0.011691373699188212,0
15/9-F-1,3495.9,0.23993299999999998,0.30796343,0.06803043088150026,0
15/9-F-1,3496.6,0.4538,0.25757265,-0.19622734909057615,2
15/9-F-1,3496.8,0.394232,0.32230008,-0.07193192351531985,1
15/9-F-1,3497.1,0.32393099999999997,0.29105252,-0.032878479724884,0
15/9-F-1,3497.2,0.29854899999999995,0.27998585,-0.018563154911041213,0
15/9-F-1,3499.9,0.49766000000000005,0.38968107,-0.10797892895698552,1
15/9-F-1,3500.2,0.8732030000000001,0.31508213,-0.5581208671836854,8
15/9-F-1,3501.1,0.664463,0.38521808,-0.27924491614151004,4
15/9-F-1,3502.1,0.733531,0.6898345,-0.043696524482727095,0
15/9-F-1,3503.3,0.69727,0.56231225,-0.13495775463104243,1
15/9-F-1,3503.4,0.714765,0.5636655,-0.151099490776062,2
15/9-F-1,3503.5,0.729236,0.6304643,-0.09877168458557128,1
15/9-F-1,3503.6,0.700145,0.6585934,-0.04155158378601076,0
15/9-F-1,3504.5,0.7612329999999999,0.7301936,-0.03103938504028314,0
15/9-F-1,3504.7,0.811366,0.6864553,-0.1249106906089783,1
15/9-F-1,3506.1,0.531253,0.7329031,0.20165012290191653,2
15/9-F-1,3506.6,0.267838,0.72970575,0.4618677509422302,6
15/9-F-1,3507.8,0.33931999999999995,0.34065282,0.0013328234481811974,0
15/9-F-1,3508.4,0.275825,0.33495224,0.059127235221862806,0
15/9-F-1,3508.7,0.300149,0.29727173,-0.002877271484374999,0
15/9-F-1,3508.9,0.328717,0.32574937,-0.002967632524490338,0
15/9-F-1,3509.2,0.286559,0.30929497,0.022735968843460075,0
15/9-F-1,3509.6,0.223485,0.3427803,0.11929529203414918,1
15/9-F-1,3509.8,0.193226,0.3110718,0.11784581310653686,1
15/9-F-1,3509.9,0.213612,0.3160088,0.1023968062286377,1
15/9-F-1,3511.3,0.289541,0.24227306,-0.04726793753242492,0
15/9-F-1,3512.3,0.169004,0.30747408,0.1384700767478943,1
15/9-F-1,3512.7,0.31436,0.266837,-0.04752299915313718,0
15/9-F-1,3512.9,0.290133,0.266837,-0.02329599915313718,0
15/9-F-1,3513.1,0.422814,0.29108086,-0.13173313771629336,1
15/9-F-1,3513.5,0.289108,0.29308677,0.003978767196655297,0
15/9-F-1,3513.7,0.28070700000000004,0.28393096,0.003223957317352255,0
15/9-F-1,3514.0,0.499987,0.2881099,-0.2118771014328003,3
15/9-F-1,3515.2,0.5123479999999999,0.3124788,-0.19986918945121757,2
15/9-F-1,3515.4,0.47116,0.417687,-0.053473001155853295,0
