DEPTH,GR,ILD,NPHI,RHOB,WELL
3448.0,7.8424,2.6909,0.1163,2.5268,15/9-F-4
3448.5,7.776,2.9413,0.1132,2.5304,15/9-F-4
3449.0,7.4844,3.1497,0.1083,2.5342,15/9-F-4
3449.5,7.128,3.0204,0.1059,2.523,15/9-F-4
3450.0,7.009,2.8417,0.1115,2.5099,15/9-F-4
3450.5,7.1877,2.8391,0.1158,2.4999,15/9-F-4
3451.0,6.9784,2.6447,0.1157,2.4961,15/9-F-4
3451.5,6.9209,2.5875,0.1117,2.5025,15/9-F-4
3452.0,6.4406,2.7369,0.106,2.5037,15/9-F-4
3452.5,6.4828,3.138,0.0974,2.5278,15/9-F-4
3453.0,6.3588,3.4002,0.0879,2.5502,15/9-F-4
3453.5,6.5978,3.8487,0.0839,2.5765,15/9-F-4
3454.0,6.9646,3.7436,0.0925,2.5722,15/9-F-4
3454.5,7.144,3.2999,0.1092,2.5295,15/9-F-4
3455.0,6.5934,2.6539,0.1233,2.5257,15/9-F-4
3455.5,5.8846,2.1443,0.144,2.4937,15/9-F-4
3456.0,5.5548,2.0379,0.1404,2.4977,15/9-F-4
3456.5,5.8495,2.0301,0.1385,2.4762,15/9-F-4
3457.0,6.7452,1.9854,0.1359,2.5033,15/9-F-4
3457.5,7.0703,2.0115,0.1228,2.5243,15/9-F-4
3458.0,7.9545,2.1281,0.1167,2.5269,15/9-F-4
3458.5,8.2115,2.0975,0.1238,2.5113,15/9-F-4
3459.0,7.5232,2.0005,0.126,2.4924,15/9-F-4
3459.5,6.7359,2.0129,0.135,2.4768,15/9-F-4
3460.0,6.3355,1.9216,0.1404,2.4622,15/9-F-4
3460.5,6.5947,1.8823,0.1412,2.4521,15/9-F-4
3461.0,5.9435,1.7432,0.1448,2.4524,15/9-F-4
3461.5,5.3747,1.763,0.1607,2.4505,15/9-F-4
3462.0,5.6133,1.7296,0.156,2.4482,15/9-F-4
3462.5,6.3742,1.816,0.1517,2.4559,15/9-F-4
3463.0,7.1035,1.9219,0.138,2.4712,15/9-F-4
3463.5,7.3178,2.027,0.1349,2.4894,15/9-F-4
3464.0,7.4269,2.1429,0.1313,2.5018,15/9-F-4
3464.5,8.049,2.3772,0.1168,2.5111,15/9-F-4
3465.0,7.7748,2.6152,0.109,2.5318,15/9-F-4
3465.5,8.3159,2.8203,0.1009,2.535,15/9-F-4
3466.0,7.3004,2.8953,0.1003,2.5305,15/9-F-4
3466.5,7.3133,2.867,0.108,2.511,15/9-F-4
3467.0,6.9128,2.7917,0.1044,2.5092,15/9-F-4
3467.5,6.7431,2.6322,0.1105,2.5066,15/9-F-4
3468.0,6.7929,2.4894,0.1167,2.4993,15/9-F-4
3468.5,6.552,2.3315,0.1184,2.4884,15/9-F-4
3469.0,7.056,2.32,0.1194,2.488,15/9-F-4
3469.5,6.8514,2.2706,0.1318,2.4889,15/9-F-4
3470.0,6.8431,2.0831,0.1294,2.4683,15/9-F-4
3470.5,6.5046,1.8082,0.1429,2.4445,15/9-F-4
3471.0,6.8198,1.5818,0.16,2.4344,15/9-F-4
3471.5,6.9447,1.4668,0.1554,2.4477,15/9-F-4
3472.0,7.2103,1.5246,0.1431,2.4668,15/9-F-4
3472.5,7.2498,1.6783,0.1479,2.4692,15/9-F-4
3473.0,7.3221,1.7642,0.1488,2.4699,15/9-F-4
3473.5,7.1123,1.7445,0.1529,2.461,15/9-F-4
3474.0,7.0227,1.679,0.1563,2.461,15/9-F-4
3474.5,6.7691,1.54,0.1536,2.4497,15/9-F-4
3475.0,6.5136,1.4804,0.1578,2.4518,15/9-F-4
3475.5,6.904,1.5916,0.1512,2.4527,15/9-F-4
3476.0,7.2507,1.6562,0.1514,2.4643,15/9-F-4
3476.5,8.7955,1.7861,0.147,2.479,15/9-F-4
3477.0,11.7578,1.9124,0.1388,2.5065,15/9-F-4
3477.5,14.6866,2.0732,0.1412,2.5322,15/9-F-4
3478.0,13.9769,1.9701,0.1237,2.5498,15/9-F-4
3478.5,10.236,2.7699,0.1003,2.5609,15/9-F-4
3479.0,7.0399,3.5687,0.0959,2.5665,15/9-F-4
3479.5,6.6556,3.8134,0.0862,2.5756,15/9-F-4
3480.0,7.2971,4.2739,0.0807,2.578,15/9-F-4
3480.5,8.2677,4.392,0.0767,2.5678,15/9-F-4
3481.0,8.8493,4.6764,0.0787,2.5605,15/9-F-4
3481.5,9.0228,4.4297,0.0904,2.549,15/9-F-4
3482.0,9.9085,3.9399,0.0907,2.5571,15/9-F-4
3482.5,11.4009,3.7959,0.096,2.5543,15/9-F-4
3483.0,12.9092,3.2834,0.0958,2.5615,15/9-F-4
3483.5,12.2678,3.2783,0.1053,2.5618,15/9-F-4
3484.0,10.7753,3.3114,0.1137,2.5673,15/9-F-4
3484.5,10.3254,3.7242,0.1044,2.559,15/9-F-4
3485.0,10.2623,3.6334,0.1042,2.5611,15/9-F-4
3485.5,11.824,3.6299,0.0998,2.5548,15/9-F-4
3486.0,13.1209,3.6747,0.1042,2.5712,15/9-F-4
3486.5,13.6288,3.8664,0.0901,2.5782,15/9-F-4
3487.0,10.9109,4.0615,0.0738,2.594,15/9-F-4
3487.5,8.1361,5.267,0.0805,2.5839,15/9-F-4
3488.0,6.6206,5.588,0.0836,2.5823,15/9-F-4
3488.5,6.663,5.8524,0.066,2.574,15/9-F-4
3489.0,6.5503,6.5962,0.0651,2.5796,15/9-F-4
3489.5,6.8818,6.8608,0.073,2.5754,15/9-F-4
3490.0,9.0684,6.8335,0.0702,2.5844,15/9-F-4
3490.5,11.9062,6.4822,0.0715,2.5896,15/9-F-4
3491.0,14.722,5.8955,0.0835,2.5888,15/9-F-4
3491.5,15.8101,5.0645,0.0869,2.5761,15/9-F-4
