DEPTH,GR,NPHI,RHOB,ILD,WELL,SW,PHIE,VSH,PERM
FEET,GAPI,V/V,G/C3,OHMM,,V/V,V/V,V/V,MD
15951.5,9.8889,0.138186,2.5003,2.1902,15/9-F-10,0.91904,0.131565,0,1.28668
15952,11.28,0.1386,2.5,2.2,15/9-F-10,0.925808,0.129734,0.00847682,1.21088
15952.5,12.7087,0.140597,2.4888,2.2,15/9-F-10,0.908277,0.131256,0.0179384,1.35152
15953,14.0639,0.140785,2.4,2.2,15/9-F-10,0.748529,0.158695,0.0269132,4.7623
15953.5,13.159,0.15412,2.4,2.2,15/9-F-10,0.720381,0.165652,0.0209205,6.16059
15954,12.1951,0.13769,2.4,2.1304,15/9-F-10,0.766407,0.160194,0.0145371,4.62076
15954.5,11.2518,0.140702,2.46,2.19,15/9-F-10,0.836592,0.142102,0.00829006,2.23306
15955,12.3778,0.140447,2.4595,2.19,15/9-F-10,0.841481,0.140495,0.015747,2.12898
15955.5,13.435,0.123207,2.4404,2.19,15/9-F-10,0.852291,0.138229,0.0227483,1.95661
15956,14.5611,0.122899,2.44,2.1801,15/9-F-10,0.854101,0.136526,0.030206,1.87105
15956.5,14.2273,0.15567,2.51,2.1904,15/9-F-10,0.885568,0.1318,0.0279954,1.47857
15957,13.8826,0.163952,2.5104,2.242,15/9-F-10,0.860799,0.136752,0.0257126,1.83875
15957.5,13.5683,0.144998,2.5295,2.3277,15/9-F-10,0.943913,0.122143,0.0236311,0.915825
15958,13.56,0.166463,2.5003,2.3201,15/9-F-10,0.819821,0.14123,0.0235762,2.33325
15958.5,12.4743,0.146824,2.48,2.2605,15/9-F-10,0.857831,0.137376,0.0163861,1.85417
15959,11.3886,0.1142,2.479,2.3606,15/9-F-10,0.932903,0.124288,0.00919603,0.984655
15959.5,10.3694,0.123725,2.4314,2.3892,15/9-F-10,0.796321,0.146172,0.00244636,2.76596
15960,12.0371,0.145016,2.4892,2.39,15/9-F-10,0.857925,0.13478,0.0134907,1.69128
15960.5,13.78,0.1469,2.49,2.39,15/9-F-10,0.866673,0.132729,0.0250331,1.58366
15961,15.4864,0.158051,2.49,2.3293,15/9-F-10,0.845063,0.1361,0.0363338,1.90869
15961.5,14.7434,0.155384,2.49,2.2912,15/9-F-10,0.844732,0.135859,0.0314132,1.87576
15962,13.9525,0.16268,2.4998,2.2408,15/9-F-10,0.839855,0.138667,0.0261755,2.05831
15962.5,13.16,0.1497,2.51,2.22,15/9-F-10,0.900518,0.130293,0.0209272,1.33821
15963,13.6775,0.157794,2.4798,2.1998,15/9-F-10,0.835138,0.141552,0.0243543,2.27523
15963.5,14.1532,0.138994,2.47,2.1897,15/9-F-10,0.888925,0.133623,0.0275046,1.55941
15964,14.5723,0.138803,2.47,2.1802,15/9-F-10,0.882241,0.13292,0.0302801,1.55486
15964.5,15.95,0.1621,2.48,2.17,15/9-F-10,0.839264,0.140112,0.039404,2.2195
15965,17.3437,0.181989,2.49,2.1505,15/9-F-10,0.805977,0.146017,0.0486338,2.95441
15965.5,16.0666,0.158843,2.4897,2.1897,15/9-F-10,0.861657,0.135652,0.0401762,1.82333
15966,13.5234,0.153414,2.4802,2.1802,15/9-F-10,0.850873,0.139273,0.0233338,2.0332
15966.5,10.8242,0.148128,2.4899,2.1899,15/9-F-10,0.875644,0.138366,0.00545828,1.79777
15967,12.3951,0.144106,2.5,2.2,15/9-F-10,0.907089,0.130969,0.0158616,1.33611
15967.5,13.7963,0.11756,2.4992,2.2,15/9-F-10,1.00381,0.115209,0.0251411,0.62922
15968,13.6534,0.146516,2.4707,2.2,15/9-F-10,0.853006,0.137558,0.0241947,1.9167
15968.5,13.65,0.176861,2.4502,2.2099,15/9-F-10,0.738348,0.159697,0.0241722,5.00686
15969,14.402,0.15107,2.4402,2.2601,15/9-F-10,0.791723,0.148541,0.0291523,3.17583
15969.5,15.8594,0.147696,2.4604,2.2709,15/9-F-10,0.840878,0.137979,0.038804,2.06093
15970,14.564,0.16446,2.4795,2.309,15/9-F-10,0.807858,0.143832,0.0302252,2.64446
15970.5,12.492,0.167373,2.4899,2.2506,15/9-F-10,0.798056,0.146159,0.0165033,2.83209
15971,12.8922,0.143013,2.4799,2.2899,15/9-F-10,0.869808,0.13454,0.0191536,1.65113
15971.5,15.191,0.145428,2.4698,2.2786,15/9-F-10,0.867171,0.134787,0.0343775,1.72818
15972,16.6674,0.141999,2.4603,2.2119,15/9-F-10,0.867787,0.134466,0.044155,1.7424
15972.5,16.3943,0.154431,2.4699,2.1607,15/9-F-10,0.837041,0.137656,0.0423464,2.07334
15973,13.51,0.1551,2.47,2.17,15/9-F-10,0.829916,0.142823,0.023245,2.39302
15973.5,11.876,0.165936,2.4697,2.0896,15/9-F-10,0.797364,0.151605,0.0124238,3.3171
15974,11.6569,0.151553,2.4506,2.0706,15/9-F-10,0.816234,0.149187,0.0109729,2.93593
15974.5,12.8111,0.151789,2.45,2.0208,15/9-F-10,0.838607,0.147783,0.0186166,2.70715
15975,13.55,0.1802,2.43,2.02,15/9-F-10,0.748525,0.166957,0.0235099,5.94253
15975.5,12.6038,0.173779,2.4502,1.9811,15/9-F-10,0.802139,0.159742,0.0172437,4.18787
15976,11.613,0.148245,2.4603,2.0521,15/9-F-10,0.84789,0.144581,0.0106821,2.36128
15976.5,11.7083,0.159199,2.4698,2.1188,15/9-F-10,0.820064,0.148151,0.0113132,2.82066
15977,12.14,0.1521,2.47,2.17,15/9-F-10,0.831882,0.143426,0.0141722,2.38287
15977.5,13.1436,0.140425,2.4701,2.2716,15/9-F-10,0.841685,0.135679,0.0208185,1.8377
15978,12.656,0.149535,2.4803,2.3933,15/9-F-10,0.821573,0.138523,0.0175894,2.10363
15978.5,12.1702,0.14382,2.4898,2.5076,15/9-F-10,0.846278,0.133734,0.0143722,1.68128
15979,11.2847,0.141313,2.4999,2.6095,15/9-F-10,0.85411,0.131279,0.00850795,1.50064
15979.5,10.8693,0.133858,2.5101,2.6605,15/9-F-10,0.88506,0.12524,0.00575695,1.12439
15980,10.81,0.139138,2.5197,2.7113,15/9-F-10,0.875497,0.125921,0.00536424,1.17652
15980.5,11.191,0.136756,2.5102,2.7589,15/9-F-10,0.863408,0.126314,0.00788742,1.23302
15981,11.8646,0.128566,2.51,2.7898,15/9-F-10,0.889441,0.120573,0.0123483,0.951004
15981.5,12.2035,0.133078,2.5099,2.8101,15/9-F-10,0.880715,0.122611,0.0145927,1.05072
15982,12.6533,0.130513,2.5004,2.8189,15/9-F-10,0.859642,0.122705,0.0175715,1.11339
15982.5,13.2153,0.135275,2.5195,2.7713,15/9-F-10,0.881622,0.119806,0.0212934,0.957803
15983,13.5565,0.137675,2.52,2.7304,15/9-F-10,0.86484,0.120463,0.023553,1.02487
15983.5,13.7339,0.118099,2.5099,2.6298,15/9-F-10,0.9533,0.111884,0.0247278,0.606386
15984,12.5768,0.136442,2.4898,2.591,15/9-F-10,0.838413,0.128854,0.0170649,1.45705
15984.5,11.9482,0.13368,2.4803,2.6386,15/9-F-10,0.825144,0.131164,0.012902,1.61581
15985,11.4071,0.136165,2.4899,2.64,15/9-F-10,0.832214,0.130639,0.00931854,1.54879
15985.5,10.82,0.137,2.48,2.57,15/9-F-10,0.822558,0.134558,0.00543046,1.79678
15986,11.6543,0.143523,2.4902,2.5381,15/9-F-10,0.821026,0.134329,0.0109556,1.80974
15986.5,12.9783,0.139332,2.4997,2.4333,15/9-F-10,0.893217,0.127381,0.0197238,1.22564
15987,15.3914,0.142152,2.5197,2.4989,15/9-F-10,0.920643,0.119987,0.0357046,0.910954
15987.5,16.31,0.1423,2.52,2.52,15/9-F-10,0.91077,0.118467,0.0417881,0.890126
15988,17.1984,0.135227,2.4995,2.4997,15/9-F-10,0.907762,0.117974,0.0476715,0.890268
15988.5,17.0751,0.13696,2.4694,2.4815,15/9-F-10,0.834667,0.128627,0.046855,1.55116
15989,16.2845,0.138865,2.4504,2.5291,15/9-F-10,0.793592,0.137149,0.0416192,2.26511
15989.5,14.37,0.1544,2.46,2.52,15/9-F-10,0.777184,0.143527,0.0289404,2.82267
15990,14.3063,0.135696,2.4703,2.4888,15/9-F-10,0.83951,0.131929,0.0285185,1.65427
