DEPTH,GR,NPHI,RHOB,RT,WELL
METERS,GAPI,V/V,G/C3,OHMM,
3454.5,7.144,0.1092,25.295,32.999,15/9-F-4
3455,65.934,0.1233,25.257,26.539,15/9-F-4
3455.5,58.846,0.144,24.937,21.443,15/9-F-4
3456,55.548,0.1404,24.977,20.379,15/9-F-4
3456.5,58.495,0.1385,24.762,20.301,15/9-F-4
3457,67.452,0.1359,25.033,19.854,15/9-F-4
3457.5,70.703,0.1228,25.243,20.115,15/9-F-4
3458,79.545,0.1167,25.269,21.281,15/9-F-4
3458.5,82.115,0.1238,25.113,20.975,15/9-F-4
3459,75.232,0.126,24.924,20.005,15/9-F-4
3459.5,67.359,0.135,24.768,20.129,15/9-F-4
3460,63.355,0.1404,24.622,19.216,15/9-F-4
3460.5,65.947,0.1412,24.521,18.823,15/9-F-4
3461,59.435,0.1448,24.524,17.432,15/9-F-4
3461.5,53.747,0.1607,24.505,1.763,15/9-F-4
3462,56.133,0.156,24.482,17.296,15/9-F-4
3462.5,63.742,0.1517,24.559,1.816,15/9-F-4
3463,71.035,0.138,24.712,19.219,15/9-F-4
3463.5,73.178,0.1349,24.894,2.027,15/9-F-4
3464,74.269,0.1313,25.018,21.429,15/9-F-4
3464.5,8.049,0.1168,25.111,23.772,15/9-F-4
3465,77.748,0.109,25.318,26.152,15/9-F-4
3465.5,83.159,0.1009,2.535,28.203,15/9-F-4
3466,73.004,0.1003,25.305,28.953,15/9-F-4
3466.5,73.133,0.108,2.511,2.867,15/9-F-4
3467,69.128,0.1044,25.092,27.917,15/9-F-4
3467.5,67.431,0.1105,25.066,26.322,15/9-F-4
3468,67.929,0.1167,24.993,24.894,15/9-F-4
3468.5,6.552,0.1184,24.884,23.315,15/9-F-4
3469,7.056,0.1194,2.488,2.32,15/9-F-4
3469.5,68.514,0.1318,24.889,22.706,15/9-F-4
3470,68.431,0.1294,24.683,20.831,15/9-F-4
3470.5,65.046,0.1429,24.445,18.082,15/9-F-4
3471,68.198,0.16,24.344,15.818,15/9-F-4
3471.5,69.447,0.1554,24.477,14.668,15/9-F-4
3472,72.103,0.1431,24.668,15.246,15/9-F-4
3472.5,72.498,0.1479,24.692,16.783,15/9-F-4
3473,73.221,0.1488,24.699,17.642,15/9-F-4
3473.5,71.123,0.1529,2.461,17.445,15/9-F-4
3474,70.227,0.1563,2.461,1.679,15/9-F-4
3474.5,67.691,0.1536,24.497,1.54,15/9-F-4
3475,65.136,0.1578,24.518,14.804,15/9-F-4
3475.5,6.904,0.1512,24.527,15.916,15/9-F-4
3476,72.507,0.1514,24.643,16.562,15/9-F-4
3476.5,87.955,0.147,2.479,17.861,15/9-F-4
3477,117.578,0.1388,25.065,19.124,15/9-F-4
3477.5,146.866,0.1412,25.322,20.732,15/9-F-4
3478,139.769,0.1237,25.498,19.701,15/9-F-4
3478.5,10.236,0.1003,25.609,27.699,15/9-F-4
3479,70.399,0.0959,25.665,35.687,15/9-F-4
3479.5,66.556,0.0862,25.756,38.134,15/9-F-4
3480,72.971,0.0807,2.578,42.739,15/9-F-4
3480.5,82.677,0.0767,25.678,4.392,15/9-F-4
3481,88.493,0.0787,25.605,46.764,15/9-F-4
3481.5,90.228,0.0904,2.549,44.297,15/9-F-4
3482,99.085,0.0907,25.571,39.399,15/9-F-4
3482.5,114.009,0.096,25.543,37.959,15/9-F-4
3483,129.092,0.0958,25.615,32.834,15/9-F-4
3483.5,122.678,0.1053,25.618,32.783,15/9-F-4
3484,107.753,0.1137,25.673,33.114,15/9-F-4
3484.5,103.254,0.1044,2.559,37.242,15/9-F-4
3485,102.623,0.1042,25.611,36.334,15/9-F-4
3485.5,11.824,0.0998,25.548,36.299,15/9-F-4
