MD_ft,Deviation,Azimuth,TVD_ft,WellName,DL,CF,North,East,Res
4603.018373,0.3104940739297912,4.283037984394085,4518.667979,15/9-F-12,0.012534549737252973,1.0000130931171387,-11.66692112037719,-527.4777476433421,527.6067582085377
4635.826772,0.32288591161895097,4.2668064223505375,4549.835958,15/9-F-12,0.013383805466802718,1.0000149274547876,-15.996694056691208,-536.7318401826902,536.9701690845035
4668.635171,0.3385938748868999,4.245862471326606,4580.872703,15/9-F-12,0.017117438836009764,1.0000244179414877,-20.690948675722435,-546.295525401722,546.6872199265727
4701.44357,0.3553490357060455,4.223871322751477,4611.712598,15/9-F-12,0.018348325613691,1.0000280560322732,-25.820447420460955,-556.2020794378813,556.8010853761116
4734.251969,0.3703588672731967,4.205545365605537,4642.388451,15/9-F-12,0.016359105230371394,1.0000223022905164,-31.381293401161585,-566.4330742952905,567.3016950716293
4767.060367,0.38641589639154456,4.187743007235194,4672.867454,15/9-F-12,0.017352085418419674,1.0000250919945382,-37.36036364520965,-576.9751425142052,578.1834586452554
4799.868766,0.3984586682303054,4.172035043967245,4703.182415,15/9-F-12,0.013458645939406894,1.000015094869298,-43.73150328438795,-587.784052026121,589.408632610482
4832.677165,0.3988077340807043,4.164704661108869,4733.431759,15/9-F-12,0.0028676805935692377,1.0000006852998957,-50.322786179985386,-598.6803881231546,600.7916360371602
4865.485564,0.39165188414752755,4.164006529408072,4763.713911,15/9-F-12,0.007161896125735998,1.0000042744182678,-56.90408073709823,-609.4623520057199,612.1130883397922
4898.293963,0.37891098060796896,4.175176636620835,4794.094488,15/9-F-12,0.013415494253277226,1.000014998227103,-63.27375621704808,-620.0193895022796,623.2396100895658
4931.102362,0.36669367584400864,4.193328060841576,4824.671916,15/9-F-12,0.013891957241156534,1.0000160825167035,-69.29670265832404,-630.3396039873801,634.1372480420018
4963.910761,0.36075955638722795,4.210257754585921,4855.314961,15/9-F-12,0.008455940872045457,1.0000059586206085,-75.00120592560624,-640.5220669630526,644.8982083685117
4996.71916,0.3605850234620285,4.227012915405067,4886.023622,15/9-F-12,0.005916466939942092,1.000002917058632,-80.48835496280418,-650.7170235959417,655.6760023686849
5029.527559,0.3635520831904188,4.251098459082589,4916.699475,15/9-F-12,0.009033315979072748,1.0000068001219544,-85.78503153973658,-661.059936300871,666.6028135392058
5062.335958,0.3659955441432109,4.286179577047675,4947.34252,15/9-F-12,0.01275145946047263,1.0000135501968568,-90.80860033208722,-671.6291746616745,677.7403264901645
5095.144357,0.3687880709464018,4.322133359638758,4977.985564,15/9-F-12,0.013212770468001404,1.0000145483626015,-95.48538638522169,-682.4437026576295,689.0913337941423
5127.952756,0.37315139407638764,4.352502088623459,5008.562992,15/9-F-12,0.011842880495735746,1.0000116879821315,-99.84109906913288,-693.509750502466,700.6597027839728
5160.761155,0.37768925013157295,4.381998152982163,5039.074803,15/9-F-12,0.011729078756713238,1.0000114644317577,-103.90968978546134,-704.829205120467,712.4474942211954
5193.569554,0.3817035074111599,4.406432762510084,5069.553806,15/9-F-12,0.009906910368066825,1.0000081789863609,-107.71277750971028,-716.3783707260551,724.4308196667047
5226.377953,0.3853686988403479,4.420395396526039,5099.967192,15/9-F-12,0.006383136327673398,1.0000033953829492,-111.3283909434505,-728.1105685194588,736.5724747910332
5259.186352,0.38903389026953605,4.4244096538056255,5130.347769,15/9-F-12,0.003967252218882921,1.0000013115929118,-114.87060471313409,-739.9817270351957,748.8445847925669
5291.994751,0.3921754829231258,4.424758719656024,5160.695538,15/9-F-12,0.0031454026670189083,1.0000008244639773,-118.41634491247127,-751.9596510238283,761.2264758337737
5324.80315,0.39549160850191506,4.422838857478831,5190.97769,15/9-F-12,0.0033979726172495618,1.0000009621859365,-121.99940345281787,-764.0286062227001,773.7076744930512
5357.611549,0.40020399748229973,4.42004633067564,5221.227034,15/9-F-12,0.004835989936354,1.0000019489044465,-125.64579282839767,-776.205469570006,786.308969964015
5390.419948,0.40491638646268446,4.417602869722848,5251.410761,15/9-F-12,0.004809635849297176,1.000001927720876,-129.36523980157816,-788.5090483983136,799.0506145889219
5423.228346,0.40840704496667307,4.414984875844856,5281.56168,15/9-F-12,0.003642017957778996,1.0000011053593667,-133.15188943238687,-800.9214996333601,811.9142037397579
5456.036745,0.4106759729942658,4.41376314536846,5311.646982,15/9-F-12,0.002321494525783228,1.0000004491116448,-136.98778355286626,-813.4095832396887,824.8641118080546
5488.845144,0.4117231705454623,4.41358861244326,5341.732283,15/9-F-12,0.001050518698324544,1.0000000919658047,-140.84705747763974,-825.942668601169,837.8658516827917
5521.653543,0.4129449010218584,4.414112211218859,5371.784777,15/9-F-12,0.0012406187173096433,1.0000001282612532,-144.71417007374052,-838.5090288034728,850.9051547646627
5554.461942,0.41364303272265607,4.413065013667662,5401.83727,15/9-F-12,0.0008160329018668735,1.0000000554924786,-148.59307420306803,-851.1019424309945,863.9759360716769
5587.270341,0.4141666314982544,4.413414079518061,5431.856955,15/9-F-12,0.000543093164177786,1.0000000245791827,-152.48177610770105,-863.7110413731323,877.0675316273084
5620.07874,0.4150392961242516,4.4144612770692575,5461.87664,15/9-F-12,0.0009702736892463805,1.0000000784525933,-156.3678337219636,-876.3428923967701,890.1841183020717
5652.887139,0.4146902302738527,4.414984875844856,5491.929134,15/9-F-12,0.0004089055425617728,1.0000000139336456,-160.246283000256,-888.9853060611476,903.3126510837931
